configuration,cum_ens_kwh_mean,cum_ens_kwh_std,critical_load_restoration_percent_mean,critical_load_restoration_percent_std,total_switching_actions_mean,total_switching_actions_std,average_vdi_pu_mean,average_vdi_pu_std,avg_power_loss_kw_mean,avg_power_loss_kw_std,success_rate_percent_mean,success_rate_percent_std
Full RH-SAGM-GWO,142.50000000000003,7.799980123758938,98.5,0.9000449030943996,3.0000333333333336,0.6000230733111412,0.03503333333333334,0.003011281470064534,115.20003333333334,3.5000110490794394,100.0,0.0
RH-FixedWeight,168.7001,9.40002340917848,94.5998,1.8000670945349737,4.799966666666666,0.9000624684578493,0.04103333333333333,0.0039608718417952415,113.80000000000001,3.8999356581783533,87.0,0.0
Snapshot-SAGM,185.3,12.09999124251607,91.8,2.299947480659744,5.199999999999999,1.1000043887059785,0.047966666666666664,0.004979151938130479,112.39999999999996,4.20011694418472,73.0,0.0
